DCGM_FI_DEV_SM_CLOCK,                gauge,   SM clock frequency (in MHz).
DCGM_FI_DEV_MEM_CLOCK,               gauge,   Memory clock frequency (in MHz).
DCGM_FI_DEV_MEMORY_TEMP,             gauge,   Memory temperature (in C).
DCGM_FI_DEV_GPU_TEMP,                gauge,   GPU temperature (in C).
DCGM_FI_DEV_POWER_USAGE,             gauge,   Power draw (in W).
DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,counter, Total energy consumption since boot (in mJ).
DCGM_FI_DEV_PCIE_REPLAY_COUNTER,     counter, Total number of PCIe retries.
DCGM_FI_DEV_PCIE_TX_THROUGHPUT,      counter, PCIe TX throughput (in KB).
DCGM_FI_DEV_PCIE_RX_THROUGHPUT,      counter, PCIe RX throughput (in KB).
DCGM_FI_DEV_PCIE_LINK_GEN,           gauge,   PCIe link generation.
DCGM_FI_DEV_PCIE_LINK_WIDTH,         gauge,   PCIe link width.
DCGM_FI_DEV_GPU_UTIL,                gauge,   GPU utilization (in %).
DCGM_FI_DEV_MEM_COPY_UTIL,           gauge,   Memory utilization (in %).
DCGM_FI_DEV_ENC_UTIL,                gauge,   Encoder utilization (in %).
DCGM_FI_DEV_DEC_UTIL,                gauge,   Decoder utilization (in %).
DCGM_FI_DEV_XID_ERRORS,              gauge,   Last XID error value.
DCGM_FI_DEV_POWER_VIOLATION,         counter, Throttling duration due to power (in us).
DCGM_FI_DEV_THERMAL_VIOLATION,       counter, Throttling duration due to thermal (in us).
DCGM_FI_DEV_SYNC_BOOST_VIOLATION,    counter, Throttling due to sync-boost (in us).
DCGM_FI_DEV_BOARD_LIMIT_VIOLATION,   counter, Throttling due to board limit (in us).
DCGM_FI_DEV_LOW_UTIL_VIOLATION,      counter, Throttling due to low utilization (in us).
DCGM_FI_DEV_RELIABILITY_VIOLATION,   counter, Throttling due to reliability (in us).
DCGM_FI_DEV_FB_FREE,                 gauge,   VRAM free (in MiB).
DCGM_FI_DEV_FB_USED,                 gauge,   VRAM used (in MiB).
DCGM_FI_DEV_FB_TOTAL,                gauge,   VRAM total (in MiB).
DCGM_FI_DEV_PSTATE,                  gauge,   Performance state (P-state).
DCGM_FI_DEV_FAN_SPEED,               gauge,   Fan speed (in %).
